"title" "year" "length" "budget"
"Buck Privates" 1941 84 180000
"Bucket of Blood, A" 1959 66 25000
"Budbringeren" 1997 83 2100000
"Buddy Buddy" 1981 96 10000000
"Buena onda" 1999 11 2000
"Buffalo '66" 1998 110 1500000
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson" 1976 123 6000000
"Buffalo Soldiers" 2001 98 15000000
"Bug Buster" 1998 93 8500000
"Bug Man, The" 2003 22 28000
"Bug's Life, A" 1998 96 45000000
"Bugsy" 1991 134 40000000
"Bull Durham" 1988 108 7000000
"Bulldog Drummond" 1929 90 550000
"Bullet for Pretty Boy, A" 1970 89 350000
"Bulletproof" 1988 93 5000000
"Bulletproof Monk" 2003 104 52000000
"Bullets Over Broadway" 1994 98 20000000
"Bullitt" 1968 113 5500000
"Bulworth" 1998 108 30000000
"Bumer" 2003 110 700000
"Buono, il brutto, il cattivo, Il" 1966 180 1200000
"Burglar, The" 1957 90 90000
"Burial Society, The" 2002 94 1500000
"Burning, The" 1981 89 1500000
"Burying Dvorak" 2003 19 5000
"Bushmen" 2004 15 10000
"Business of Fancydancing, The" 2002 103 200000
"Bussed" 2003 31 10000
"Busting Out" 2004 57 100000
"But I'm a Cheerleader" 1999 85 1200000
"Butterfly Effect, The" 2004 120 13000000
"C'era una volta il West" 1968 158 5000000
"C.H.U.D." 1984 96 1250000
"CQ" 2001 91 7000000
"Cabaret" 1972 124 6000000
"Cabin Fever" 2002 93 1500000
"Cabin in the Sky" 1943 98 662141
"Cabiria" 1914 162 210000
"Cable Guy, The" 1996 96 47000000
"Cachimba" 2004 127 950000
"Caddyshack" 1980 98 6000000
"Cafe Society" 1995 104 3500000
"Caffeine Headache" 2003 24 2000
"Caged Heat" 1974 83 180000
"Calendar Girl" 1993 90 13000000
"California Casanova" 1991 90 350000
"Call Her Savage" 1932 89 489652
"Calling Bobcat" 2000 91 230000
"Callous Sentiment" 2002 13 10000
"Cama adentro" 2004 83 800000
"Camelot" 1967 179 17000000
"Cameron's Closet" 1989 86 7000000
"Camille" 1936 109 1486000
"Camp Pacific" 2002 29 35000
"Camp Slaughter" 2004 95 350000
"Campanadas a medianoche" 1965 115 800000
"Can't Be Heaven" 2000 94 2000000
"Can't Hardly Wait" 1998 101 10000000
"Can't Stop the Music" 1980 118 20000000
"Can-Can" 1960 131 6000000
"Canadian Bacon" 1995 91 11000000
"Candyman" 1992 99 8000000
"Cape Fear" 1991 128 35000000
"Cape of Good Hope" 2004 107 3000000
"Capricorn One" 1978 123 5000000
"Captain Blood" 1935 99 1200000
"Captain Corelli's Mandolin" 2001 131 57000000
"Captain EO" 1986 17 17000000
"Captain Kronos - Vampire Hunter" 1974 91 400000
"Captain from Castile" 1947 140 4500000
"Captains Courageous" 1937 115 1645000
"Captured!" 1933 69 245000
"Carabiniers, Les" 1963 80 140000
"Carandiru" 2003 147 6000000
"Caravans" 1978 127 14000000
"Carefree" 1938 83 1253000
"Carlos contra el mundo" 2002 91 1000000
"Carmen Jones" 1954 108 750000
"Carnage" 1986 91 32500
"Carnival of Souls" 1962 84 30000
"Carnival of Souls" 1998 90 2000000
"Carnosaur" 1993 83 1000000
"Carpetbaggers, The" 1964 150 3000000
"Carpool" 1996 89 17000000
"Carrie" 1976 98 1800000
"Casa dell'esorcismo, La" 1973 95 1000000
"Casablanca" 1942 102 950000
"Casino" 1995 176 52000000
"Casino Royale" 1967 131 12000000
"Casper" 1995 100 55000000
"Casshern" 2004 141 5000000
"Cast Away" 2000 143 90000000
"Casualties of War" 1989 113 22500000
"Cat People" 1942 73 134000
"Cat People" 1982 118 18000000
"Cat in the Hat, The" 2003 82 109000000
"Cat on a Hot Tin Roof" 1958 108 3000000
"Cat's Eye" 1985 94 7000000
"Cat's-Paw, The" 1934 102 617000
"Catch Me If You Can" 1989 106 800000
"Catch Me If You Can" 2002 141 52000000
"Catch That Kid" 2004 91 18000000
"Cats & Dogs" 2001 87 60000000
"Cats Don't Dance" 1997 75 32000000
"Catwoman" 2004 104 85000000
"Causality" 2004 9 15000
"Cavalcade" 1933 110 1180280
"Cavalieri che fecero l'impresa, I" 2001 147 8000000
"Cecil B. DeMented" 2000 87 10000000
"Celebrity" 1998 113 12000000
"Cell, The" 2000 109 33000000
"Cellar Doors" 1989 40 7000
"Cellar, The" 2003 20 5000
"Cellular" 2004 94 25000000
"Centipede!" 2004 90 500000
"Central Airport" 1933 72 356000
"Central do Brasil" 1998 108 2900000
"Chacun cherche son chat" 1996 91 300000
"Chafed Elbows" 1966 63 25000
"Chain Reaction" 1996 106 55000000
"Chain of Fools" 2000 96 20000000
"Chair, The" 1989 100 3000000
"Chairman of the Board" 1998 95 10000000
"Chalk" 1996 134 400000
"Chamber, The" 1996 113 50000000
"Champagne Society" 2003 20 5000
"Chan Is Missing" 1982 80 20000
"Chance" 2002 73 150000
"Chandelier" 2004 20 32000
"Chandu the Magician" 1932 71 349456
"Chanel Solitaire" 1981 107 7000000
"Change of Climate, A" 1999 19 15000
"Changing Habits" 1997 95 1200000
"Changing Lanes" 2002 99 45000000
"Chapter Zero" 1999 104 1500000
"Charade" 1963 113 4000000
"Charge of the Light Brigade, The" 1936 115 1200000
"Charge of the Light Brigade, The" 1968 139 8000000
"Chariots of Fire" 1981 123 5500000
"Charlie" 2004 94 5000000
"Charlie Chan at Treasure Island" 1939 72 120000
"Charlie Chan in Black Magic" 1944 67 75000
"Charlie Chan in London" 1934 79 100000
"Charlie Chan in Paris" 1935 72 110000
"Charlie Chan in The Chinese Cat" 1944 65 75000
"Charlie Chan in the Secret Service" 1944 63 75000
"Charlie's Angels" 2000 94 92000000
"Charlie's Angels: Full Throttle" 2003 107 120000000
"Charlotte Sometimes" 2002 85 80000
"Charly" 2002 103 950000
"Charming Billy" 1999 82 250000
"Chase, The" 2003 3 2000
"Chasing Amy" 1997 111 250000
"Chasing Jason" 2004 7 2000
"Chasing Liberty" 2004 111 23000000
"Che!" 1969 96 2800000
"Cheaper by the Dozen" 2003 98 40000000
"Cheat, The" 1915 59 17311
"Cheerleader" 2003 24 5500
"Cheerleaders, The" 1973 84 153000
"Cheetah" 1989 83 5000000
"Cherish" 2002 99 1500000
"Cherry Falls" 2000 92 14000000
"Cherry Orchard, The" 1999 141 5000000
"Cherry, Harry & Raquel!" 1970 71 90000
"Cheyenne Autumn" 1964 154 4200000
"Chi sei?" 1974 109 350000
"Chicago" 2002 113 45000000
"Chicken Run" 2000 84 42000000
"Chiesa, La" 1989 98 3500000
"Child Psychology" 2004 14 7000
"Child's Play" 1988 87 19000000
"Child's Play 2" 1990 84 13000000
"Childhood's End" 1997 115 600000
"Children On Their Birthdays" 2002 102 10000000
"Children Shouldn't Play with Dead Things" 1972 87 70000
"Children of the Arcana" 2003 22 11000
"Children of the Corn" 1984 93 3000000
"Children of the Corn II: The Final Sacrifice" 1993 92 900000
"Children's Hour, The" 1961 107 3600000
"Chill Factor" 1999 101 34000000
"China Lake" 1983 34 3000
"Chinatown" 1974 131 6000000
"Chitty Chitty Bang Bang" 1968 144 10000000
"Choirboys, The" 1977 119 6500000
"Choke" 1999 98 550000
"Choosing Matthias" 2001 90 2500000
"Chopin. Pragnienie milosci" 2002 134 3500000
"Christine" 1983 110 9700000
"Christmas with the Kranks" 2004 98 60000000
"Christopher Strong" 1933 78 284000
"Chronicles of Riddick, The" 2004 135 110000000
"Chronotrip" 2002 74 10000
"Chu Chin Chow" 1934 103 500000
"Chuck&Buck" 2000 96 250000
"Chumscrubber, The" 2005 102 6800000
"Ciao America" 2002 100 5000000
"Cidade de Deus" 2002 135 3300000
"Cider House Rules, The" 1999 126 24000000
"Cimarron" 1931 131 1433000
"Cinderella" 1950 74 2900000
"Cinderella Story, A" 2004 95 20000000
"Cinderfella" 1960 91 3000000
"Cinedictum" 2002 40 100000
"Circle of Iron" 1978 102 4000000
"Circus World" 1964 135 9000000
"Circus, The" 1928 71 900000
"Citizen Kane" 1941 119 686033
"Citizen Ruth" 1996 102 3000000
"Citizen Shane" 2004 59 4000
"Citizen Verdict" 2003 97 10000000
"City Hall" 1996 111 40000000
"City Lights" 1931 87 1500000
"City by the Sea" 2002 108 60000000
"City of Angels" 1998 114 55000000
"City of Ghosts" 2002 116 17500000
"City of Hope" 1991 129 3000000
"City of Industry" 1997 97 8000000
"City on Fire" 1979 104 5300000
"Civil Action, A" 1998 112 60000000
"Civil Brand" 2002 95 500000
"Claire of the Moon" 1992 107 130000
"Clash of the Titans" 1981 118 15000000
"Class of 1984" 1982 98 4300000
"Class of 1999" 1990 99 5200000
"Class of 83" 2004 50 25000
"Claudine's Return" 1998 91 2000000
"Claustrophobia" 2003 79 114000
"Clay Pigeons" 1998 104 8000000
"Clean, Shaven" 1994 79 60000
"Clear and Present Danger" 1994 141 65000000
"Clearing the Range" 1931 61 60000
"Cleopatra" 1917 125 500000
"Cleopatra" 1963 320 44000000
"Clerks." 1994 92 230000
"Cliffhanger" 1993 112 65000000
"Clifford's Really Big Movie" 2004 73 70000
"Climb, The" 2002 98 2500000
"Clock, The" 1945 90 1324000
"Clockers" 1995 129 25000000
"Clockstoppers" 2002 94 26000000
"Clockwork Orange, A" 1971 137 2200000
"Clonus Horror, The" 1979 90 350000
"Close Encounters of the Third Kind" 1977 137 20000000
"Clown Princes" 1939 11 21243
"Clown in Babylon, A" 1999 105 150000
"Club Dread" 2004 119 9000000
"Club Fed" 1990 93 360000
"Clubland" 1999 94 4000000
"Clue" 1985 97 15000000
"Clueless" 1995 97 20000000
"Coach Carter" 2005 136 30000000
"Cock-Eyed World, The" 1929 118 661315
"Cockettes, The" 2002 100 300000
"Cocoanuts, The" 1929 96 500000
"Code" 2003 12 10000
"Code 46" 2003 92 7500000
"Codename: Simon" 2004 10 50000
"Cog" 2004 5 4000
"Coil" 2001 79 12000
"Cold Call" 2001 14 20000
"Cold Dog Soup" 1990 100 7000000
"Cold Heart" 2001 95 3000000
"Cold Hearts" 1999 90 900000
"Cold Mountain" 2003 152 83000000
"Collateral" 2004 120 65000000
"Collateral Damage" 2002 108 85000000
"College Coach" 1933 76 245000
"Color Me Blood Red" 1965 79 50000
"Color Purple, The" 1985 154 15000000
"Color of Money, The" 1986 119 10000000
"Color of Night" 1994 133 40000000
"Coltelli del vendicatore, I" 1966 86 75000
"Combat Shock" 1986 92 40000
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean" 1982 109 850000
"Comedians of Comedy, The" 2005 103 500000
"Coming to America" 1988 116 28000000
"Command Decision" 1948 112 3700000
"Commandments" 1997 88 5000000
"Committed" 2000 98 3000000
"Company Jasmine" 2001 55 150000
"Company Man" 2000 86 16000000
"Company of Wolves, The" 1984 95 2000000
"Company, The" 2003 112 15000000
"Comunidad, La" 2000 110 2000000
"Con Air" 1997 115 75000000
"Conan the Barbarian" 1982 129 20000000
"Condemned" 1929 86 600000
"Confession, The" 1998 20 15000
"Confession, The" 1999 114 4000000
"Confessions of a Dangerous Mind" 2002 113 29000000
"Confessions of a Nazi Spy" 1939 104 1500000
"Confessions of a Teenage Drama Queen" 2004 89 15000000
"Confidence" 2003 97 15000000
"Conformista, Il" 1970 115 750000
"Congo" 1995 109 50000000
"Connecting Dots" 2003 95 500000
"Connection, The" 1962 110 167000
"Conqueror, The" 1956 111 6000000
"Conquest" 1937 113 2732000
"Conquest of the Planet of the Apes" 1972 88 1700000
"Conspiracy Theory" 1997 135 75000000
"Constantine" 2005 121 100000000
"Contact" 1997 153 90000000
"Contender, The" 2000 126 9000000
"Control de plagas" 2004 14 5000
"Convention City" 1933 69 239000
"Conversation, The" 1974 113 1600000
"Cool Hot Rod, The" 1953 26 1000
"Cool as Ice" 1991 100 6000000
"Cop Land" 1997 116 15000000
"Copycat" 1995 123 20000000
"Coquette" 1929 76 489106
"Coral Reef Adventure" 2003 45 10000000
"Core, The" 2003 135 74000000
"Corky Romano" 2001 86 11000000
"Corner of Your Eye" 2003 96 100000
"Coronado" 2003 88 4700000
"Coronel no tiene quien le escriba, El" 1999 122 3000000
"Corpse Grinders, The" 1972 62 47000
"Cotton Club, The" 1984 127 47000000
"Cotton Comes to Harlem" 1970 97 1200000
"Cotton Mary" 1999 124 3500000
"Could This Be Love?" 1973 29 5000
"Count of Monte Cristo, The" 2002 134 35000000
"Countess from Hong Kong, A" 1967 120 3500000
"Country Bears, The" 2002 88 35000000
"Country of My Skull" 2004 104 12000000
"Courage Under Fire" 1996 117 46000000
"Cover Up" 1991 87 7500000
"Covered Wagon, The" 1923 98 782000
"Cowboy and the Lady, The" 1938 91 1500000
"Cowboys & Angels" 2003 89 2000000
"Cowboys, The" 1972 128 6000000
"Coyote Ugly" 2000 100 45000000
"Crab Boy" 1996 11 17000
"Crack in the World" 1965 96 600000
"Cradle 2 the Grave" 2003 101 25000000
"Cradle Will Rock" 1999 132 32000000
"Craft, The" 1996 101 15000000
"Craig's Wife" 1936 73 300000
"Crank Calls" 2002 10 40000
"Crash" 2004 113 6500000
"Crawling Hand, The" 1963 89 100000
"Crazies, The" 1973 103 275000
"Crazy Love" 2004 7 2000
"Crazy in Alabama" 1999 111 15000000
"Crazy-Quilt, The" 1966 75 250000
"Crazy/Beautiful" 2001 135 14000000
"Creature" 1985 97 4000000
"Creepozoids" 1987 72 75000
"Creepshow" 1982 120 8000000
"Creepshow 2" 1987 92 3500000
"Creepy Tales: Girls Night Out" 2003 115 30000
"Cremaster 2" 1999 79 1700000
"Crew, The" 2000 84 23000000
"Crier, The" 1995 78 250000
"Crime Partners 2000" 2001 102 250000
"Crime Spree" 2003 98 10000000
"Crimen del padre Amaro, El" 2002 118 1800000
"Crimes and Misdemeanors" 1989 104 19000000
"Crimes of the Future" 1970 70 20000
"Criminal, The" 1960 97 200000
"Crimson Pirate, The" 1952 105 1850000
"Crimson Tide" 1995 116 53000000
"Crisis" 1950 95 1616455
"Critical Care" 1997 107 12000000
"Critters" 1986 82 2000000
"Critters 2: The Main Course" 1988 93 4500000
"Crocodile Dundee in Los Angeles" 2001 92 25000000
"Crocodile Hunter: Collision Course, The" 2002 90 13000000
"Crooklyn" 1994 115 14000000
"Crop Circles: Quest for Truth" 2002 115 750000
"Crop, The" 2004 103 40000
"Cross Country" 1983 95 2500000
"Cross of Iron" 1977 119 6000000
"Crossfire" 1947 86 250000
"Crossplot" 1969 96 1000000
"Crossroads" 2002 93 12000000
"Crow, The" 1994 98 15000000
"Crow: City of Angels, The" 1996 84 13000000
"Crow: Salvation, The" 2000 102 25000000
"Cruel Intentions" 1999 97 11000000
"Crutch" 2004 88 500000
"Cry of the Banshee" 1970 87 500000
"Cry-Baby" 1990 85 11000000
"Cujo" 1983 93 5000000
"Cultivision (Collapsing Stars)" 2002 88 1000
"Curdled" 1996 88 2309723
"Curiosity & the Cat" 1999 80 45000
"Curly Sue" 1991 101 30000000
"Curse of El Charro, The" 2004 90 200000
"Curse of Frankenstein, The" 1957 83 500000
"Curse of the Jade Scorpion, The" 2001 103 26000000
"Curse of the Living Corpse, The" 1964 84 120000
"Curse of the Puppet Master" 1998 77 250000
"Curse of the Queerwolf" 1988 90 10000
"Cursed" 2005 97 35000000
"Curucu, Beast of the Amazon" 1956 76 155000
"Cusp" 2000 25 60000
"Custodial Code, The" 2003 15 12000
"Cutaway" 2000 104 9000000
"Cutthroat Island" 1995 119 92000000
"Cyborg" 1989 86 2000000
"Cypher" 2002 95 7500000
"D-Tox" 2002 92 55000000
"D.E.B.S." 2004 91 3500000
"D.I.Y. or Die: How to Survive as an Independent Artist" 2002 55 5000
"Daddy Cool" 2002 85 150000
"Daddy Day Care" 2003 92 60000000
"Daddy and Them" 2001 101 4000000
"Daddy's Boys" 1988 90 300000
"Daddy-O" 1958 74 100000
"Dagon" 2001 97 4800000
"Daisy Miller" 1974 91 2000000
"Dalton, Les" 2004 86 27000000
"Damaged Lives" 1933 61 10000
"Damned, The" 1963 96 500000
"Damned, The" 2001 90 30000
"Damsel in Distress, A" 1937 98 1035000
"Dance Lexie Dance" 1996 14 75000
"Dances with Wolves" 1990 236 19000000
"Dancing Lady" 1933 92 923055
"Dancing in September" 2000 102 850000
"Dangerous Liaisons" 1988 119 14000000
"Dangerous Lives of Altar Boys, The" 2002 105 12000000
"Dangerous Money" 1946 66 75000
"Dangerous Stranger, The" 1950 10 1000
"Dansk sexualitet" 1969 75 15000
"Dante's Inferno" 1935 88 748900
"Dante's Peak" 1997 104 104000000
"Darcy's Off-White Wedding" 2005 10 7000
"Daredevil" 2003 133 75000000
"Daredevils of the Red Circle" 1939 211 126118
"Dark Agent and the Passing of the Torch Chapter 7, The" 2004 13 10000
"Dark Alibi" 1946 61 75000
"Dark Blue" 2002 118 15000000
"Dark City" 1998 100 27000000
"Dark Command" 1940 94 1000000
"Dark Crystal, The" 1982 93 15000000
"Dark Half, The" 1993 122 15000000
"Dark Heaven" 2002 87 80000
"Dark Manhattan" 1937 70 24900
"Dark Star" 1974 83 60000
"Darklands" 1996 90 750000
"Darkman" 1990 96 16000000
"Darkness Falls" 2003 86 11000000
"Darkness Minus Twelve" 2004 12 4400
"Darling Lili" 1970 107 25000000
"Date, The" 2004 12 3000
"Daughter of the Sun" 1962 60 11000
"Daughters of Satan" 1972 90 275000
"David & Dee" 2004 18 50000
"David Searching" 1997 101 22500
"Dawn of the Dead" 1978 139 1500000
"Dawn of the Dead" 2004 109 28000000
"Dawn of the Friend" 2004 22 10000
"Day After Tomorrow, The" 2004 124 125000000
"Day Without a Mexican, A" 2004 100 1500000
"Day of Defense" 2003 102 500000
"Day of Independence" 2003 27 200000
"Day of the Animals" 1977 97 1200000
"Day of the Dead" 1985 97 3500000
"Day of the Dolphin, The" 1973 104 8500000
"Day of the Fight" 1951 16 3900
"Day the Earth Stood Still, The" 1951 85 960000
"Day the World Ended" 1956 79 96000
"Dayereh" 2000 90 10000
"Daylight" 1996 110 80000000
"Days of Thunder" 1990 107 60000000
"Dead & Buried" 1981 94 3000000
"Dead Babies" 2000 100 1000000
"Dead End" 1937 93 900000
"Dead End Road" 2004 94 100000
"Dead Hate the Living!, The" 2000 90 150000
"Dead Heat" 1988 86 5000000
"Dead Heat on a Merry-Go-Round" 1966 104 2000000
"Dead Man" 1995 120 9000000
"Dead Man Walking" 1995 122 11000000
"Dead Man on Campus" 1998 96 14000000
"Dead Man's Curve" 1998 90 1000000
"Dead Next Door, The" 1988 84 75000
"Dead Poets Society" 1989 128 16400000
"Dead Presidents" 1995 119 15000000
"Dead Ringer" 1964 115 1200000
"Dead Soul: A Fairy Tale" 2001 30 8000
"Dead Zone, The" 1983 103 10000000
"Dead of Night" 1974 88 235000
"Deadfall" 2000 86 13000
"Deadly Blessing" 1981 100 2500000
"Deadly Harvest" 1977 87 250000
"Deadly Stingers" 2003 73 150000
"Death 4 Told" 2004 96 85000
"Death Becomes Her" 1992 99 55000000
"Death Bed: The Bed That Eats" 1977 80 30000
"Death Race 2000" 1975 79 300000
"Death and the Compass" 1992 96 3500000
"Death of Daniel Whately, The" 2004 111 5000
"Death to Smoochy" 2002 109 55000000
"Death, Can I Buy You a Drink?" 2004 22 50000
"Deathrow Gameshow" 1987 83 200000
"Debtors, The" 1999 90 14000000
"Decay" 1998 80 15000
"Decision" 1995 90 5000
"Decline of Western Civilization Part II: The Metal Years, The" 1988 93 500000
"Decline of Western Civilization, The" 1981 100 100000
"Deconstructing Harry" 1997 96 20000000
"Decoys" 2004 95 5000000
"Deep Blue" 2003 91 5000000
"Deep Blue Sea" 1999 105 78000000
"Deep End of the Ocean, The" 1999 106 40000000
"Deep End, The" 2001 101 3000000
"Deep Impact" 1998 120 75000000
"Deep Rising" 1998 97 45000000
"Deep Throat" 1972 67 22000
"Deep, The" 1977 123 9000000
"Deer Hunter, The" 1978 183 15000000
"Defender, The" 2004 90 6000000
"Defilers, The" 1965 69 11000
"Defining Reason" 2003 5 2000
"Delayed" 2002 103 20000
"Delicate Delinquent, The" 1957 101 460000
"Delinquents, The" 1957 72 65000
"Deliverance" 1972 109 2000000
"Delivered" 1998 93 1000000
"Dellamorte Dellamore" 1994 105 4000000
"Delusion" 1991 88 1000000
"Dementia 13" 1963 75 30000
"Dementia: An Experiment in Terror" 2004 85 300000
"Demetrius and the Gladiators" 1954 101 4500000
"Demo Crew, The" 2001 108 100000
"Demolitionist, The" 1995 100 1000000
"Demon Knight" 1995 92 12000000
"Demoni" 1985 88 1800000
"Demonium" 2001 85 2200000
"Denial" 1998 93 5000000
"Dentist II, The" 1998 100 1800000
"Derailed" 2002 89 18000000
"Deranged" 1974 78 200000
"Derniers feux" 2004 8 50000
"Dersu Uzala" 1975 141 4000000
"Desecration" 1999 88 150000
"Desert Hearts" 1985 96 350000
"Deserter, The" 2003 75 35000
"Desire" 1936 95 1200000
"Desire" 1993 95 1000000
"Desperado" 1995 106 7000000
"Desperate Characters" 1971 87 400000
"Desperate Hours, The" 1955 112 2388000
"Desperate Living" 1977 90 65000
"Desperately Seeking Susan" 1985 104 4500000
"Destino" 2003 7 1500000
"Detail, The" 1997 87 200000
"Detective Fiction" 2003 102 200000
"Detention" 2003 98 10000000
"Deterrence" 1999 101 800000
"Detour" 1945 67 30000
"Detroit Rock City" 1999 95 15000000
"Deuce Bigalow: Male Gigolo" 1999 88 18000000
"Deuces Wild" 2002 100 10000000
"Devil Dogs of the Air" 1935 85 350000
"Devil Is a Woman, The" 1935 79 800000
"Devil's Advocate, The" 1997 144 57000000
"Devil's Own, The" 1997 111 80000000
"Devil's Pond" 2003 92 5000000
"Diabolik" 1968 99 400000
"Dial M for Murder" 1954 105 1400000
"Diamonds Are Forever" 1971 120 7200000
"Diary of a Mad Black Woman" 2005 116 5500000
"Dick" 1999 94 13000000
"Dick Tracy" 1990 105 47000000
"Dickie Roberts: Former Child Star" 2003 98 17000000
"Die Another Day" 2002 133 142000000
"Die Hard" 1988 131 28000000
"Die Hard 2" 1990 124 70000000
"Die Hard: With a Vengeance" 1995 131 90000000
"Die xue jie tou" 1990 126 3500000
"Different" 2004 11 5000
